nct,agent,dose_mg,schedule,dose_wk,n,mean_pct,var_of_mean,timepoint
NCT03018028,placebo,0.0,placebo,0.0,49.0,-1.58,0.10516122448979591,"Week 0, week 26 and week 52"
NCT03018028,semaglutide,3.0,daily,21.0,49.0,-0.64,0.14331632653061224,"Week 0, week 26 and week 52"
NCT03018028,semaglutide,7.0,daily,49.0,49.0,-1.63,0.1577224489795918,"Week 0, week 26 and week 52"
NCT03018028,semaglutide,14.0,daily,98.0,48.0,-3.54,0.3906020833333333,"Week 0, week 26 and week 52"
NCT03021187,placebo,0.0,placebo,0.0,184.0,-0.47,0.04956739130434783,"Week 0, week 26, week 52"
NCT03021187,semaglutide,3.0,daily,21.0,184.0,-1.73,0.060628260869565215,"Week 0, week 26, week 52"
NCT03021187,semaglutide,14.0,daily,98.0,181.0,-4.3,0.11538618784530388,"Week 0, week 26, week 52"
NCT03021187,semaglutide,7.0,daily,49.0,182.0,-3.11,0.17601978021978024,"Week 0, week 26, week 52"
NCT03086330,placebo,0.0,placebo,0.0,151.0,-1.0,0.06364238410596028,"Week 0, week 30"
NCT03086330,semaglutide,1.0,weekly,1.0,151.0,-5.4,0.15258278145695364,"Week 0, week 30"
NCT03191396,semaglutide,1.0,weekly,1.0,290.0,-6.1,0.08279310344827588,"Week 0, week 30"
NCT03548935,placebo,0.0,placebo,0.0,655.0,-3.1,0.06253435114503818,Baseline (week 0) to week 68
NCT03548935,semaglutide,2.4,weekly,2.4,1306.0,-16.9,0.06765696784073508,Baseline (week 0) to week 68
NCT03548987,semaglutide,2.4,weekly,2.4,535.0,-8.8,0.11371962616822429,Randomisation (week 20) to week 68
NCT03548987,placebo,0.0,placebo,0.0,268.0,6.5,0.2212313432835821,Randomisation (week 20) to week 68
NCT03552757,placebo,0.0,placebo,0.0,403.0,-3.1,0.0670967741935484,Baseline (week 0) to week 68
NCT03552757,semaglutide,2.4,weekly,2.4,404.0,-10.7,0.1505940594059406,Baseline (week 0) to week 68
NCT03574597,placebo,0.0,placebo,0.0,7378.0,-0.87,0.00501035510978585,"Week 0, week 104"
NCT03611582,semaglutide,2.4,weekly,2.4,407.0,-17.6,0.22643734643734642,Baseline (week 0) to week 68
NCT03611582,placebo,0.0,placebo,0.0,204.0,-6.1,0.2831372549019608,Baseline (week 0) to week 68
NCT03693430,placebo,0.0,placebo,0.0,128.0,-2.0,0.5778125,From Baseline (Week 0) to Week 104
NCT03693430,semaglutide,2.4,weekly,2.4,144.0,-17.3,0.9834027777777778,From Baseline (Week 0) to Week 104
NCT03811574,placebo,0.0,placebo,0.0,100.0,-1.9,0.3481,"Baseline (week 0), week 68"
NCT03811574,semaglutide,2.4,weekly,2.4,193.0,-13.4,0.38321243523316056,"Baseline (week 0), week 68"
NCT03811574,semaglutide,1.7,weekly,1.7,98.0,-9.9,0.6208163265306123,"Baseline (week 0), week 68"
NCT03856047,cagrilintide,0.3,weekly,0.3,96.0,-6.1,0.15843749999999998,From baseline (week 0) to week 26
NCT03856047,placebo,0.0,placebo,0.0,95.0,-3.0,0.28463157894736846,From baseline (week 0) to week 26
NCT03856047,cagrilintide,1.2,weekly,1.2,98.0,-8.5,0.2975510204081633,From baseline (week 0) to week 26
NCT03856047,cagrilintide,0.6,weekly,0.6,97.0,-6.9,0.300618556701031,From baseline (week 0) to week 26
NCT03856047,cagrilintide,4.5,weekly,4.5,97.0,-10.8,0.3118556701030928,From baseline (week 0) to week 26
NCT03856047,cagrilintide,2.4,weekly,2.4,99.0,-9.5,0.38828282828282834,From baseline (week 0) to week 26
NCT03987451,semaglutide,2.4,weekly,2.4,47.0,-8.83,1.1777361702127662,"Baseline (week 0), Week 48"
NCT03987451,placebo,0.0,placebo,0.0,24.0,-0.09,2.3064000000000004,"Baseline (week 0), Week 48"
NCT04017832,semaglutide,3.0,daily,21.0,322.0,-2.0,0.049689440993788817,From baseline to week 26
NCT04017832,semaglutide,7.0,daily,49.0,319.0,-4.0,0.050156739811912224,From baseline to week 26
NCT04017832,semaglutide,14.0,daily,98.0,300.0,-5.0,0.08333333333333333,From baseline to week 26
NCT04074161,semaglutide,2.4,weekly,2.4,117.0,-16.4,0.9423076923076923,"Baseline (week 0), week 68"
NCT04102189,semaglutide,2.4,weekly,2.4,131.0,-14.8,1.3300763358778624,"Baseline (week 0), week 68"
NCT04102189,placebo,0.0,placebo,0.0,62.0,2.3,1.3356451612903224,"Baseline (week 0), week 68"
