nct_id,outcome_id,result_group_id,units,param_value_num,dispersion_value_num
NCT03914326,228373788,738645912.0,Kilograms,-4.21,5.85
NCT03914326,228373788,738645913.0,Kilograms,-1.28,4.9
NCT03819153,227864031,736947971.0,Kilograms,-1.43,6.33
NCT03819153,227864031,736947970.0,Kilograms,-5.54,6.57
NCT02692716,228399227,738728113.0,Kg,-0.8,4.5
NCT02692716,228399227,738728112.0,Kg,-4.2,5.7
NCT03574597,227799476,736736103.0,percentage change in body weight,-9.39,8.62
NCT03574597,227799476,736736104.0,percentage change in body weight,-0.87,6.08
NCT04847557,228401250,738734408.0,Percent change,-2.24,0.46
NCT04847557,228401250,738734407.0,Percent change,-13.85,0.43
NCT01720446,227829676,736836453.0,kg,-3.57,0.21
NCT01720446,227829676,736836454.0,kg,-4.88,0.22
NCT01720446,227829676,736836455.0,kg,-0.62,0.15
