nct_id,agent,hr,ci_lower_limit,ci_upper_limit,title
NCT01720446,semaglutide,1.11,0.77,1.61,Time From Randomisation to Each Individual Component of the Expanded Composite Cardiovascular Outcome
NCT01720446,semaglutide,0.77,0.61,0.97,"Time From Randomisation to First Occurrence of All-cause Death, Non-fatal MI, or Non-fatal Stroke"
NCT01179048,liraglutide,0.868,0.778,0.968,"Time From Randomisation to First Occurrence of Cardiovascular Death, Non-fatal Myocardial Infarction, or Non-fatal Stroke (a Composite Cardiovascular Outcome)"
NCT01179048,liraglutide,0.868,0.778,0.968,"Time From Randomisation to First Occurrence of Cardiovascular Death, Non-fatal Myocardial Infarction, or Non-fatal Stroke (a Composite Cardiovascular Outcome)"
NCT01179048,liraglutide,0.881,0.807,0.962,"Time From Rand. to First Occurrence of an Expanded Composite Cardiovascular Outcome Defined as Either Cardiovascular Death, Non-fatal Myocardial Infarction, Non-fatal Stroke, Revascularisation, Hospitalisation for Unstable Angina or for Heart Failure."
NCT01179048,liraglutide,0.847,0.739,0.971,Time From Randomisation to All Cause Death
NCT01179048,liraglutide,0.783,0.656,0.934,Time From Randomisation to Each Individual Component of the Expanded Composite Cardiovascular Outcome
NCT01179048,liraglutide,0.894,0.721,1.107,Time From Randomisation to Each Individual Component of the Expanded Composite Cardiovascular Outcome
NCT01179048,liraglutide,0.878,0.747,1.031,Time From Randomisation to Each Individual Component of the Expanded Composite Cardiovascular Outcome
NCT01179048,liraglutide,0.98,0.763,1.258,Time From Randomisation to Each Individual Component of the Expanded Composite Cardiovascular Outcome
NCT01179048,liraglutide,0.912,0.797,1.044,Time From Randomisation to Each Individual Component of the Expanded Composite Cardiovascular Outcome
NCT01179048,liraglutide,0.872,0.727,1.046,Time From Randomisation to Each Individual Component of the Expanded Composite Cardiovascular Outcome
NCT01179048,liraglutide,0.782,0.666,0.918,Time From Randomisation to Each Individual Component of the Composite Microvascular Outcome and to the Retinopathy and Nephropathy Composite Outcomes Separately.
NCT01179048,liraglutide,0.738,0.602,0.905,Time From Randomisation to Each Individual Component of the Composite Microvascular Outcome and to the Retinopathy and Nephropathy Composite Outcomes Separately.
NCT01179048,liraglutide,0.89,0.667,1.189,Time From Randomisation to Each Individual Component of the Composite Microvascular Outcome and to the Retinopathy and Nephropathy Composite Outcomes Separately.
NCT01179048,liraglutide,0.869,0.607,1.244,Time From Randomisation to Each Individual Component of the Composite Microvascular Outcome and to the Retinopathy and Nephropathy Composite Outcomes Separately.
NCT01179048,liraglutide,1.593,0.521,4.869,Time From Randomisation to Each Individual Component of the Composite Microvascular Outcome and to the Retinopathy and Nephropathy Composite Outcomes Separately.
NCT01179048,liraglutide,1.149,0.869,1.519,Time From Randomisation to Each Individual Component of the Composite Microvascular Outcome and to the Retinopathy and Nephropathy Composite Outcomes Separately.
NCT01179048,liraglutide,1.159,0.869,1.546,Time From Randomisation to Each Individual Component of the Composite Microvascular Outcome and to the Retinopathy and Nephropathy Composite Outcomes Separately.
NCT01179048,liraglutide,0.335,0.004,30.847,Time From Randomisation to Each Individual Component of the Composite Microvascular Outcome and to the Retinopathy and Nephropathy Composite Outcomes Separately.
NCT01179048,liraglutide,1.454,0.845,2.502,Time From Randomisation to Each Individual Component of the Composite Microvascular Outcome and to the Retinopathy and Nephropathy Composite Outcomes Separately.
