nct,agents,n_weight_outcomes,phase,start_date,status
NCT02453711,semaglutide,1,PHASE2,2015-10-01,COMPLETED
NCT02607865,semaglutide,1,PHASE3,2016-02-15,COMPLETED
NCT02827708,semaglutide,1,PHASE3,2016-09-20,COMPLETED
NCT02849080,semaglutide,3,PHASE3,2016-09-20,COMPLETED
NCT02863328,semaglutide,1,PHASE3,2016-08-10,COMPLETED
NCT02863419,semaglutide,1,PHASE3,2016-08-10,COMPLETED
NCT02906930,semaglutide,1,PHASE3,2016-09-20,COMPLETED
NCT03015220,semaglutide,1,PHASE3,2017-01-10,COMPLETED
NCT03018028,semaglutide,1,PHASE3,2017-01-10,COMPLETED
NCT03021187,semaglutide,1,PHASE3,2017-02-02,COMPLETED
NCT03086330,semaglutide,1,PHASE3,2017-03-15,COMPLETED
NCT03136484,semaglutide,1,PHASE3,2017-03-15,COMPLETED
NCT03191396,semaglutide,1,PHASE3,2017-06-27,COMPLETED
NCT03548935,semaglutide,2,PHASE3,2018-06-04,COMPLETED
NCT03548987,semaglutide,2,PHASE3,2018-06-04,COMPLETED
NCT03552757,semaglutide,2,PHASE3,2018-06-04,COMPLETED
NCT03574597,semaglutide,1,PHASE3,2018-10-24,COMPLETED
NCT03596450,semaglutide,2,PHASE4,2018-07-13,COMPLETED
NCT03611582,semaglutide,2,PHASE3,2018-08-01,COMPLETED
NCT03689374,semaglutide,1,PHASE3,2018-10-01,COMPLETED
NCT03693430,semaglutide,2,PHASE3,2018-10-05,COMPLETED
NCT03811574,semaglutide,1,PHASE3,2019-01-21,COMPLETED
NCT03856047,cagrilintide,1,PHASE2,2019-03-01,COMPLETED
NCT03987451,semaglutide,1,PHASE2,2019-06-18,COMPLETED
NCT04017832,semaglutide,1,PHASE3,2019-07-29,COMPLETED
NCT04074161,semaglutide,1,PHASE3,2019-09-11,COMPLETED
NCT04102189,semaglutide,1,PHASE3,2019-10-07,COMPLETED
NCT04109547,semaglutide,1,PHASE3,2019-10-01,COMPLETED
NCT04153929,"semaglutide,survodutide",1,PHASE2,2020-04-30,COMPLETED
NCT04184622,tirzepatide,2,PHASE3,2019-12-04,COMPLETED
NCT04251156,semaglutide,1,PHASE3,2020-12-08,COMPLETED
NCT04515849,semaglutide,2,PHASE2,2020-08-31,COMPLETED
NCT04657003,tirzepatide,1,PHASE3,2021-03-29,COMPLETED
NCT04657016,tirzepatide,1,PHASE3,2021-03-29,COMPLETED
NCT04660643,tirzepatide,3,PHASE3,2021-03-29,COMPLETED
NCT04667377,survodutide,1,PHASE2,2021-03-08,COMPLETED
NCT04707313,danuglipron,4,PHASE2,2021-01-29,COMPLETED
NCT04707469,semaglutide,3,PHASE3,2021-01-15,COMPLETED
NCT04779697,semaglutide,1,PHASE1,2021-02-01,COMPLETED
NCT04788511,semaglutide,1,PHASE3,2021-03-16,COMPLETED
NCT04844918,tirzepatide,1,PHASE3,2021-05-10,COMPLETED
NCT04847557,tirzepatide,1,PHASE3,2021-04-20,COMPLETED
NCT04881760,retatrutide,2,PHASE2,2021-05-20,COMPLETED
NCT04944992,semaglutide,1,PHASE2,2021-08-04,COMPLETED
NCT04969939,semaglutide,1,PHASE2,2021-07-15,COMPLETED
NCT04982575,"cagrilintide,semaglutide",1,PHASE2,2021-08-02,COMPLETED
NCT04998136,semaglutide,2,PHASE3,2022-08-15,COMPLETED
NCT05024032,tirzepatide,1,PHASE3,2021-09-01,COMPLETED
NCT05035095,semaglutide,1,PHASE3,2021-09-13,COMPLETED
NCT05040971,semaglutide,1,PHASE3,2021-09-06,COMPLETED
NCT05051579,orforglipron,2,PHASE2,2021-09-29,COMPLETED
NCT05064735,semaglutide,1,PHASE3,2021-10-01,COMPLETED
NCT05093205,danuglipron,2,PHASE1,2021-10-25,COMPLETED
NCT05144984,semaglutide,1,PHASE2,2021-11-29,COMPLETED
NCT05412004,tirzepatide,1,PHASE3,2022-06-21,COMPLETED
NCT05564117,semaglutide,1,PHASE3,2022-10-11,COMPLETED
NCT05579249,semaglutide,1,PHASE4,2023-01-19,COMPLETED
NCT05646706,semaglutide,2,PHASE3,2023-01-04,COMPLETED
NCT05649137,semaglutide,1,PHASE3,2023-01-04,COMPLETED
NCT05822830,"semaglutide,tirzepatide",2,PHASE3,2023-04-21,COMPLETED
NCT05971940,orforglipron,1,PHASE3,2023-08-09,COMPLETED
NCT06041217,semaglutide,1,PHASE3,2023-09-15,COMPLETED
NCT06124807,mazdutide,2,PHASE2,2023-11-17,COMPLETED
